branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
void,1.87618273,0.603426817,1.14441868,1.47323706,-0.593431523
void,1.8985607,0.596471176,1.14722402,1.48543448,-0.609369454
void,1.92653317,0.587795196,1.15073999,1.50094296,-0.629678203
void,1.94891114,0.580871512,1.15355941,1.513561,-0.646238365
void,1.9768836,0.572241226,1.15709096,1.5296002,-0.667335645
void,1.99926158,0.565358586,1.15992126,1.54264684,-0.684535388
void,2.02723404,0.556785066,1.16346445,1.55922693,-0.706443315
void,2.04961202,0.549952094,1.16630249,1.57271046,-0.724300683
void,2.07758448,0.541445828,1.16985344,1.58984195,-0.747042256
void,2.09996245,0.534670678,1.17269618,1.60377089,-0.765576007
void,2.12234043,0.527923719,1.17554005,1.61790063,-0.784416587
void,2.15031289,0.519531905,1.1790956,1.63584784,-0.808404763
void,2.17269086,0.5128537,1.1819399,1.65043585,-0.827950129
void,2.20066333,0.504552263,1.1854942,1.66896163,-0.852832045
void,2.2230413,0.497949792,1.18833609,1.68401715,-0.873102799
void,2.25101377,0.489747158,1.19188565,1.70313325,-0.898904698
void,2.27339174,0.483226921,1.19472239,1.71866583,-0.919922232
void,2.30136421,0.475130913,1.19826383,1.73838436,-0.946671366
void,2.32374218,0.468698928,1.20109276,1.75440384,-0.968457893
void,2.35171464,0.460716773,1.20462283,1.7747373,-0.996182549
void,2.37409262,0.454378586,1.2074414,1.79125384,-1.01876113
void,2.40206508,0.446516919,1.21095696,1.81221511,-1.04749066
void,2.42444305,0.440277604,1.21376271,1.82923918,-1.07088522
void,2.44682103,0.434083742,1.21656201,1.84649225,-1.09465034
void,2.47479349,0.426406653,1.22005135,1.86838393,-1.12488545
void,2.49717146,0.420318181,1.22283446,1.88616022,-1.14950271
void,2.52514393,0.412775376,1.22630219,1.90871292,-1.1808192
void,2.5475219,0.406796259,1.22906692,1.92702369,-1.20631475
void,2.57549437,0.399392417,1.23251034,1.95025169,-1.23874593
void,2.59787234,0.393526184,1.23525459,1.96910856,-1.26514693
void,2.62584481,0.386265447,1.23867115,1.99302659,-1.29872735
void,2.64822278,0.3805152,1.24139293,2.01244149,-1.32606194
void,2.67619524,0.373401191,1.24478021,2.03706471,-1.36082742
void,2.69857322,0.367769624,1.24747763,2.05704996,-1.38912476
void,2.72654568,0.360805458,1.25083334,2.08239398,-1.42511244
void,2.74892365,0.355294868,1.25350463,2.10296224,-1.45440279
void,2.77689612,0.348483177,1.25682661,2.12904312,-1.49165114
void,2.79927409,0.343095479,1.25947009,2.15020743,-1.52196584
void,2.82165207,0.33776292,1.2621007,2.17164095,-1.55274616
void,2.84962453,0.331175175,1.26537041,2.19881548,-1.59188628
void,2.8720025,0.325967637,1.26797098,2.22086454,-1.62373824
void,2.89997497,0.319536876,1.27120223,2.24881719,-1.6642391
void,2.92235294,0.314455411,1.27377133,2.27149578,-1.6971969
void,2.95032541,0.308182745,1.27696242,2.30024426,-1.739102
void,2.97270338,0.303228083,1.27949874,2.32356675,-1.77320104
void,3.00067584,0.297114227,1.28264807,2.35312928,-1.81655544
void,3.02305382,0.292286787,1.28515039,2.37711045,-1.85183243
void,3.05102628,0.286332084,1.28825651,2.40750577,-1.89668281
void,3.07340426,0.281631998,1.29072371,2.43216083,-1.93317574
void,3.10137672,0.275836437,1.29378527,2.4634082,-1.97957045
void,3.12375469,0.271263561,1.29621632,2.48875277,-2.01731869
void,3.14613267,0.26674711,1.29863101,2.51440891,-2.05563785
void,3.17410513,0.261180738,1.30162608,2.54692214,-2.10435211
void,3.1964831,0.256790844,1.30400331,2.57329114,-2.14398592
void,3.22445557,0.251382242,1.30695104,2.60670582,-2.19437006
void,3.24683354,0.247118167,1.30929001,2.63380439,-2.23536139
void,3.27480601,0.241866274,1.31218946,2.66814169,-2.28746994
void,3.29718398,0.237727065,1.31448946,2.69598701,-2.32986317
void,3.32515645,0.232630563,1.3173398,2.7312687,-2.38375259
void,3.34753442,0.228615068,1.31960021,2.75987841,-2.42759368
void,3.37550688,0.223672402,1.3224007,2.79612686,-2.48332241
void,3.39788486,0.219779288,1.32462097,2.82551909,-2.52865895
void,3.42585732,0.214988682,1.327371,2.86275727,-2.5862875
void,3.44823529,0.211216446,1.32955067,2.89295066,-2.63316872
void,3.47061327,0.207497413,1.33171217,2.92350624,-2.68075274
void,3.49858573,0.202922918,1.33438838,2.96221585,-2.74123664
void,3.5209637,0.199322331,1.33650875,2.99360039,-2.79043956
void,3.54893617,0.194894758,1.33913336,3.03335857,-2.85298031
void,3.57131414,0.191410769,1.34121232,3.06559197,-2.90385572
void,3.59928661,0.187127734,1.34378503,3.10642391,-2.96852146
void,3.62166458,0.183758379,1.34582237,3.1395266,-3.02112482
void,3.64963705,0.179617359,1.34834296,3.18145818,-3.08798609
void,3.67201502,0.176360571,1.35033854,3.21545114,-3.14237481
void,3.69998748,0.17235892,1.35280687,3.25850894,-3.2115046
void,3.72236546,0.169212538,1.3547606,3.29341371,-3.26773809
void,3.75033792,0.165347507,1.35717661,3.33762502,-3.33921195
void,3.77271589,0.162309291,1.35908849,3.37346373,-3.39735168
