seed,strength,passive_gaussian_fraction,explicit_repulsive_fraction,passive_energy,repulsive_energy
11,0.92,0.99,0.1575,-0.2969825587538148,-0.04600284841518781
11,0.9400000000000001,0.99,0.155,-0.3067835587538148,-0.045756895957856175
11,0.96,0.99,0.155,-0.31658455875381475,-0.04551664595785617
11,0.98,0.99,0.155,-0.32638555875381475,-0.04527639595785617
11,1.0,0.99,0.1525,-0.33618655875381476,-0.04504003933617669
11,1.02,0.99,0.1525,-0.34598755875381476,-0.04480747683617669
11,1.04,0.99,0.15,-0.35578855875381477,-0.04458161627447291
11,1.06,0.9925,0.1475,-0.36559304867994824,-0.044360099567765814
11,1.08,0.9925,0.145,-0.3754436111799482,-0.04414568309011463
11,1.1,0.995,0.145,-0.3853432140214417,-0.043935433090114634
11,1.12,0.995,0.145,-0.3952434640214418,-0.04372518309011463
11,1.1400000000000001,0.995,0.145,-0.4051437140214417,-0.04351493309011463
11,1.16,0.995,0.1425,-0.41504396402144167,-0.04330570378332317
11,1.18,0.9975,0.1425,-0.4249591702504711,-0.043102641283323175
11,1.2,0.9975,0.1425,-0.43490923275047116,-0.04289957878332317
11,1.22,0.9975,0.1425,-0.44485929525047113,-0.042696516283323174
11,1.24,0.9975,0.1425,-0.4548093577504712,-0.04249345378332317
11,1.26,0.9975,0.1425,-0.4647594202504712,-0.042290391283323174
11,1.28,0.9975,0.14,-0.47470948275047126,-0.04209061765449047
11,1.3,0.9975,0.1375,-0.4846595452504712,-0.04189519880385922
11,1.32,0.9975,0.1375,-0.4946096077504712,-0.04170613630385922
11,1.34,0.9975,0.1375,-0.5045596702504711,-0.04151707380385922
11,1.36,0.9975,0.1375,-0.5145097327504713,-0.04132801130385921
11,1.3800000000000001,0.9975,0.1375,-0.5244597952504713,-0.04113894880385922
11,1.4000000000000001,0.9975,0.1375,-0.5344098577504712,-0.04094988630385922
11,1.42,0.9975,0.1375,-0.5443599202504712,-0.04076082380385922
11,1.44,1.0,0.1375,-0.554359861023149,-0.04057176130385922
11,1.46,1.0,0.1375,-0.5643598610231491,-0.04038269880385922
11,1.48,1.0,0.1375,-0.5743598610231491,-0.04019363630385922
11,1.5,1.0,0.135,-0.5843598610231491,-0.04000967948575428
11,1.52,1.0,0.135,-0.5943598610231491,-0.03982742948575428
11,1.54,1.0,0.135,-0.6043598610231491,-0.03964517948575428
11,1.56,1.0,0.135,-0.6143598610231491,-0.039462929485754285
11,1.58,1.0,0.1325,-0.6243598610231491,-0.03928308394553852
11,1.6,1.0,0.1325,-0.6343598610231491,-0.03910752144553852
11,1.62,1.0,0.1325,-0.6443598610231491,-0.038931958945538525
11,1.6400000000000001,1.0,0.1325,-0.6543598610231491,-0.03875639644553852
11,1.6600000000000001,1.0,0.1325,-0.6643598610231491,-0.03858083394553852
11,1.68,1.0,0.13,-0.674359861023149,-0.0384064987102721
