omega,k,ReG,ImG
4.26,0.0,0.03930010669226083,0.10226850679334457
4.2700000000000005,0.0,0.039109459919147854,0.10211771840676835
4.28,0.0,0.038919808708473974,0.10196713903270052
4.29,0.0,0.03873114686156603,0.10181677022749812
4.3,0.0,0.03854346822073124,0.10166661351315441
4.3100000000000005,0.0,0.03835676666902842,0.10151667037780832
4.32,0.0,0.03817103613003915,0.10136694227624687
4.33,0.0,0.03798627056763856,0.10121743063040067
4.34,0.0,0.037802463985766206,0.10106813682983261
4.3500000000000005,0.0,0.037619610428196885,0.10091906223222008
4.36,0.0,0.03743770397831133,0.10077020816383016
4.37,0.0,0.03725673875886695,0.1006215759199886
4.38,0.0,0.03707670893176875,0.10047316676554224
4.39,0.0,0.036897608697840145,0.10032498193531494
4.4,0.0,0.036719432296594155,0.10017702263455748
4.41,0.0,0.036542174006004624,0.100029290039391
4.42,0.0,0.03636582814227765,0.09988178529724447
4.43,0.0,0.03619038905962336,0.09973450952728609
4.44,0.0,0.03601585115002785,0.09958746382084867
4.45,0.0,0.03584220884302563,0.09944064924184923
4.46,0.0,0.035669456605472126,0.09929406682720268
4.47,0.0,0.035497588941316806,0.09914771758722987
4.48,0.0,0.03532660039137663,0.09900160250605991
4.49,0.0,0.035156485533109925,0.09885572254202697
4.5,0.0,0.034987238980390696,0.09871007862806153
4.51,0.0,0.03481885538328346,0.09856467167207617
4.5200000000000005,0.0,0.03465132942781864,0.0984195025573462
4.53,0.0,0.03448465583576841,0.09827457214288467
4.54,0.0,0.034318829364423126,0.09812988126381246
4.55,0.0,0.034153844806368405,0.0979854307317231
4.5600000000000005,0.0,0.033989696989262706,0.09784122133504236
4.57,0.0,0.03382638077561572,0.0976972538393833
4.58,0.0,0.03366389106256714,0.09755352898789572
4.59,0.0,0.03350222278166637,0.09741004750161128
4.6000000000000005,0.0,0.03334137089865276,0.09726681007978355
4.61,0.0,0.03318133041323665,0.09712381740022334
4.62,0.0,0.03302209635888105,0.0969810701196294
4.63,0.0,0.032863663802584146,0.09683856887391448
4.64,0.0,0.03270602784466251,0.09669631427852671
4.65,0.0,0.03254918361853511,0.09655430692876672
4.66,0.0,0.03239312629050817,0.09641254740010019
4.67,0.0,0.03223785105956069,0.09627103624846588
4.68,0.0,0.032083353157130984,0.0961297740105797
4.69,0.0,0.031929627846903855,0.0959887612042341
4.7,0.0,0.03177667042459885,0.09584799832859363
4.71,0.0,0.031624476217759094,0.09570748586448613
4.72,0.0,0.03147304058554124,0.09556722427468982
4.73,0.0,0.03132235891850622,0.0954272140042166
4.74,0.0,0.031172426638410862,0.09528745548059102
4.75,0.0,0.031023239198000437,0.09514794911412564
4.76,0.0,0.03087479208080214,0.09500869529819232
4.7700000000000005,0.0,0.030727080800919456,0.0948696944094897
4.78,0.0,0.030580100902827572,0.09473094680830715
4.79,0.0,0.030433847961169536,0.09459245283878462
4.8,0.0,0.030288317580553576,0.09445421282916915
4.8100000000000005,0.0,0.030143505395351246,0.0943162270920676
4.82,0.0,0.02999940706949661,0.09417849592469589
4.83,0.0,0.02985601829628635,0.09404101960912463
4.84,0.0,0.029713334798180904,0.0939037984125214
4.8500000000000005,0.0,0.029571352326606504,0.09376683258738948
4.86,0.0,0.029430066661758403,0.0936301223718034
4.87,0.0,0.029289473612404828,0.0934936679896409
4.88,0.0,0.029149569015692166,0.09335746965081182
4.89,0.0,0.029010348736951047,0.09322152755148361
4.9,0.0,0.028871808669503448,0.0930858418743038
4.91,0.0,0.028733944734470905,0.09295041278861917
4.92,0.0,0.028596752880583578,0.09281524045069188
4.93,0.0,0.0284602290839905,0.0926803250039125
4.94,0.0,0.028324369348070765,0.09254566657901012
4.95,0.0,0.028189169703245847,0.09241126529425939
4.96,0.0,0.028054626206792756,0.0922771212556845
4.97,0.0,0.02792073494265845,0.09214323455726064
4.98,0.0,0.02778749202127517,0.0920096052811121
4.99,0.0,0.02765489357937685,0.09187623349770804
5.0,0.0,0.027522935779816512,0.09174311926605504
5.01,0.0,0.027391614811384798,0.09161026263388726
5.0200000000000005,0.0,0.02726092688862947,0.09147766363785366
5.03,0.0,0.027130868251676012,0.0913453223037027
5.04,0.0,0.027001435166049203,0.09121323864646426
5.05,0.0,0.026872623922495835,0.09108141267062918
5.0600000000000005,0.0,0.02674443083680837,0.09094984437032595
5.07,0.0,0.026616852249649787,0.09081853372949523
5.08,0.0,0.0264898845263793,0.09068748072206152
5.09,0.0,0.026363524056879268,0.09055668531210258
5.1000000000000005,0.0,0.026237767255383057,0.09042614745401649
5.11,0.0,0.026112610560304048,0.09029586709268615
5.12,0.0,0.02598805043406555,0.09016584416364144
5.13,0.0,0.02586408336293192,0.0900360785932193
5.14,0.0,0.02574070585684055,0.08990657029872114
5.15,0.0,0.025617914449235047,0.08977731918856828
5.16,0.0,0.025495705696899407,0.08964832516245513
5.17,0.0,0.025374076179793155,0.08951958811150004
5.18,0.0,0.0252530225008876,0.08939110791839404
5.19,0.0,0.025132541286003122,0.08926288445754757
5.2,0.0,0.02501262918364746,0.08913491759523492
5.21,0.0,0.02489328286485504,0.0890072071897367
5.22,0.0,0.024774499023027318,0.08887975309148018
5.23,0.0,0.024656274373774184,0.08875255514317779
